Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,CACC,CACC,CACC,CACC,CACC,
Date,,,,,,
1999-06-09,5.5,5.75,5.4375,5.75,98000,-0.0028368813351997263
1999-06-10,5.34375,5.375,5.25,5.375,61000,-0.02882043853549197
1999-06-11,5.09375,5.375,5.0,5.1875,103200,-0.047913355695897504
1999-06-14,4.875,5.25,4.875,5.25,86200,-0.043894193557225264
1999-06-15,5.0,5.25,4.9375,4.9375,80900,0.025317807984289786
1999-06-16,5.375,5.375,5.125,5.25,89500,0.07232066157962608
1999-06-17,5.3125,5.375,5.1875,5.3125,69700,-0.011696039763191298
1999-06-18,5.375,5.75,5.125,5.625,99200,0.011696039763191236
1999-06-21,5.4375,5.625,5.25,5.5,43300,0.011560822401076006
1999-06-22,5.3125,5.5625,5.25,5.5,53300,-0.023256862164267235
1999-06-23,5.25,5.5,5.25,5.5,10100,-0.011834457647002796
1999-06-24,5.1875,5.3125,5.1875,5.25,105300,-0.01197619104671565
1999-06-25,5.0625,5.25,5.0625,5.21875,13100,-0.024391453124159124
1999-06-28,5.3125,5.3125,5.0625,5.0625,22800,0.048202101817877686
1999-06-29,5.4375,5.5,5.1875,5.1875,40900,0.023256862164267183
1999-06-30,6.0,6.25,5.4375,5.5,54900,0.09844007281325251
1999-07-01,6.0,6.125,5.75,6.0,26300,0.0
1999-07-02,5.71875,5.78125,5.6875,5.75,9700,-0.048009219186360606
1999-07-06,5.5,5.75,5.5,5.75,14100,-0.039002157803269204
1999-07-07,5.3125,5.625,5.25,5.4375,15700,-0.034685557987889984
1999-07-08,6.125,6.1875,5.5,5.6875,77800,0.1423162221802554
1999-07-09,5.75,6.25,5.75,6.25,7300,-0.06317890162153156
1999-07-12,6.125,6.15625,5.5,5.5,20800,0.06317890162153167
1999-07-13,6.0,6.1875,6.0,6.0,32200,-0.020619287202735703
1999-07-14,5.6875,5.6875,5.5,5.5625,18500,-0.053488684950986236
1999-07-15,6.0,6.0,5.6875,5.6875,38400,0.05348868495098622
1999-07-16,5.6875,5.75,5.5,5.625,61000,-0.053488684950986236
1999-07-19,6.0,6.0,5.5625,5.5625,22700,0.05348868495098622
1999-07-20,5.75,6.0,5.6875,6.0,6400,-0.04255961441879589
1999-07-21,5.875,5.875,5.65625,5.875,7100,0.021506205220963682
1999-07-22,5.8125,5.9375,5.734375,5.875,17900,-0.010695289116747919
1999-07-23,5.5625,5.65625,5.53125,5.65625,24800,-0.04396312342111606
