Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
1999-10-13,10712.00,0.00,10505.41,12942.90,9
1999-10-14,10711.12,0.00,10502.84,12881.86,9
1999-10-15,10735.27,0.00,10233.94,12847.99,9
1999-10-18,10748.42,0.00,10308.20,12823.50,9
1999-10-19,10753.81,0.00,10408.09,12825.42,9
1999-10-20,10750.81,0.00,10510.53,12832.86,9
1999-10-21,10763.48,0.00,10571.99,12915.84,9
1999-10-22,10771.57,0.00,10661.63,13159.60,9
1999-10-25,10783.25,0.00,10607.85,13197.62,9
1999-10-26,10803.31,0.00,10474.68,13198.00,9
1999-10-27,10823.15,0.00,10664.19,13262.30,9
1999-10-28,10794.41,0.00,11027.86,13320.75,9
1999-10-29,10787.07,0.00,11227.62,13465.02,9
1999-11-01,10793.05,0.00,11109.81,13533.44,9
1999-11-02,10767.35,0.00,11030.42,13593.88,9
1999-11-03,10783.99,0.00,11104.69,13681.98,9
1999-11-04,10719.15,0.00,11189.21,13756.47,9
1999-11-05,10721.29,0.00,11299.33,13854.92,9
1999-11-08,10689.57,0.00,11309.57,13814.18,9
1999-11-09,10708.86,0.00,11203.30,13948.01,9
1999-11-10,10704.12,0.00,11286.53,13875.74,9
1999-11-11,10676.32,0.00,11350.55,13994.32,9
1999-11-12,10685.79,0.00,11453.00,14025.04,9
1999-11-15,10686.61,0.00,11479.88,14088.87,9
1999-11-16,10682.16,0.00,11575.92,14093.22,9
1999-11-17,10679.37,0.00,11606.66,14329.46,9
1999-11-18,10691.78,0.00,11688.61,14344.41,9
1999-11-19,10688.87,0.00,11678.36,14374.71,9
1999-11-22,10669.18,0.00,11675.81,14414.67,9
1999-11-23,10679.33,0.00,11573.36,14403.23,9
1999-11-24,10677.75,0.00,11634.82,14466.48,9
1999-11-26,10695.51,0.00,11591.29,14652.36,9
1999-11-29,10690.30,0.00,11550.32,14638.81,9
1999-11-30,10692.93,0.00,11414.58,14658.56,9
1999-12-01,10654.77,0.00,11506.78,14663.57,9
1999-12-02,10638.47,0.00,11575.92,14718.52,9
1999-12-03,10636.68,0.00,11788.49,14866.45,9
1999-12-06,10659.39,0.00,11701.42,14805.12,9
1999-12-07,10657.46,0.00,11606.66,14851.80,9
1999-12-08,10638.04,0.00,11532.38,15054.86,9
1999-12-09,10659.79,0.00,11588.73,15279.15,9
1999-12-10,10682.50,0.00,11627.15,15335.83,9
1999-12-13,10676.56,0.00,11647.63,15360.92,9
1999-12-14,10649.29,0.00,11534.95,15505.33,9
1999-12-15,10663.28,0.00,11596.41,15425.01,9
1999-12-16,10706.81,0.00,11647.63,15626.74,9
1999-12-17,10703.77,0.00,11722.43,15805.81,9
1999-12-20,10690.02,0.00,11637.71,15815.00,9
1999-12-21,10687.98,0.00,11814.86,15956.03,9
1999-12-22,10678.39,0.00,11845.67,16094.63,9
1999-12-23,10720.07,0.00,12034.37,16116.23,9
1999-12-27,10729.37,0.00,12017.68,16085.67,9
1999-12-28,10722.20,0.00,12009.98,16091.61,9
1999-12-29,10737.62,0.00,12061.32,16122.64,9
1999-12-30,10736.59,0.00,12047.20,16188.35,9
1999-12-31,10728.80,0.00,12066.46,16186.06,9
2000-01-03,10744.50,0.00,11948.36,16257.68,9
2000-01-04,10744.23,0.00,11481.11,16455.61,9
2000-01-05,10702.72,0.00,11501.65,16418.91,9
2000-01-06,10667.24,0.00,11316.80,16410.59,9
2000-01-07,10705.75,0.00,11974.04,16342.99,9
2000-01-10,10694.11,0.00,12015.11,16323.42,9
2000-01-11,10680.03,0.00,11871.34,16509.42,9
2000-01-12,10649.72,0.00,11753.24,16524.22,9
2000-01-13,10628.31,0.00,11912.42,16750.71,9
2000-01-14,10643.77,0.00,12074.16,16755.04,9
2000-01-18,10644.75,0.00,11979.17,16843.40,9
2000-01-19,10606.05,0.00,12076.73,16925.19,9
2000-01-20,10618.76,0.00,11891.88,17060.77,9
2000-01-21,10626.32,0.00,11866.21,17124.31,9
2000-01-24,10590.30,0.00,11529.88,17225.40,9
2000-01-25,10596.89,0.00,11660.82,17309.63,9
2000-01-26,10613.04,0.00,11568.40,17607.20,9
2000-01-27,10623.84,0.00,11522.18,17627.25,9
2000-01-28,10616.09,0.00,11162.75,17708.36,9
2000-01-31,10603.58,0.00,11465.70,17761.04,9
2000-02-01,10600.28,0.00,11578.66,17853.03,9
2000-02-02,10612.28,0.00,11588.93,17949.85,9
2000-02-03,10646.13,0.00,11763.51,18011.67,9
2000-02-04,10679.10,0.00,11714.73,18040.98,9
2000-02-07,10686.94,0.00,11696.76,18131.08,9
2000-02-08,10697.85,0.00,11855.94,18312.97,9
2000-02-09,10721.49,0.00,11606.90,18576.27,9
2000-02-10,10708.69,0.00,11630.01,18627.18,9
2000-02-11,10713.22,0.00,11393.82,18769.98,9
2000-02-14,10710.55,0.00,11460.56,18901.98,9
2000-02-15,10705.49,0.00,11590.22,18931.03,9
2000-02-16,10699.28,0.00,11419.49,18856.65,9
2000-02-17,10672.61,0.00,11360.44,18877.88,9
2000-02-18,10637.07,0.00,11116.54,19026.69,9
2000-02-22,10664.38,0.00,11088.30,19111.52,9
2000-02-23,10645.97,0.00,11219.24,19098.43,9
2000-02-24,10667.14,0.00,10993.32,19421.21,9
2000-02-25,10710.06,0.00,10953.52,19791.11,9
2000-02-28,10663.40,0.00,11183.30,19850.40,9
2000-02-29,10667.30,0.00,11291.13,19844.87,9
2000-03-01,10698.11,0.00,11373.28,19823.03,9
2000-03-02,10708.89,0.00,11380.98,19934.54,9
2000-03-03,10697.09,0.00,11594.07,20076.63,9
2000-03-06,10665.07,0.00,11481.11,20246.69,9
2000-03-07,10644.03,0.00,11259.03,20615.97,9
2000-03-08,10639.91,0.00,11244.91,21005.16,9
2000-03-09,10670.71,0.00,11573.53,20896.18,9
2000-03-10,10666.36,0.00,11511.91,21029.32,9
2000-03-13,10677.99,0.00,11386.11,20862.78,9
2000-03-14,10676.91,0.00,11224.38,20884.33,9
2000-03-15,10722.79,0.00,11486.24,20780.21,9
2000-03-16,10688.45,0.00,12022.82,20614.41,9
2000-03-17,10675.42,0.00,12102.27,21133.77,9
2000-03-20,10699.14,0.00,12040.50,21165.96,9
2000-03-21,10661.53,0.00,12287.59,21007.81,9
2000-03-22,10659.78,0.00,12362.24,21205.41,9
2000-03-23,10661.53,0.00,12573.29,21520.04,9
2000-03-24,10655.07,0.00,12647.93,21714.10,9
2000-03-27,10666.81,0.00,12514.09,21705.24,9
2000-03-28,10703.40,0.00,12442.02,21667.82,9
2000-03-29,10632.33,0.00,12454.89,21556.71,9
2000-03-30,10636.47,0.00,12246.41,21224.53,9
2000-03-31,10608.42,0.00,12385.39,21324.07,9
2000-04-03,10581.00,0.00,12457.47,21264.81,9
2000-04-04,10552.27,0.00,12364.80,21314.53,9
2000-04-05,10565.24,0.00,12287.59,21187.74,9
2000-04-06,10593.27,0.00,12394.41,21269.58,9
2000-04-07,10527.73,0.00,12472.91,21320.04,9
2000-04-10,10520.60,0.00,12424.00,21432.39,9
2000-04-11,10544.37,0.00,12387.97,21299.96,9
2000-04-12,10561.91,0.00,12048.22,21233.19,9
2000-04-13,10557.53,0.00,11880.92,21116.12,9
2000-04-14,10542.20,0.00,11201.42,20995.16,9
2000-04-17,10546.71,0.00,11592.65,21435.37,9
2000-04-18,10528.21,0.00,11898.94,21695.37,9
2000-04-19,10547.46,0.00,11788.27,21757.58,9
2000-04-20,10525.74,0.00,11844.89,21738.11,9
2000-04-24,10551.57,0.00,11716.19,21531.40,9
2000-04-25,10542.01,0.00,12202.65,21517.64,9
