Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
1999-08-02,10294.15,0.00,10874.30,11135.40,6
1999-08-03,10275.58,0.00,10823.23,11183.36,6
1999-08-04,10287.93,0.00,10675.10,11134.44,6
1999-08-05,10282.32,0.00,10772.16,11148.88,6
1999-08-06,10261.81,0.00,10654.68,11162.71,6
1999-08-09,10258.75,0.00,10631.69,11162.35,6
1999-08-10,10264.09,0.00,10514.21,11169.20,6
1999-08-11,10248.45,0.00,10641.91,11144.63,6
1999-08-12,10255.97,0.00,10635.52,11231.46,6
1999-08-13,10253.33,0.00,10881.97,11213.28,6
1999-08-16,10266.26,0.00,10930.48,11235.70,6
1999-08-17,10278.39,0.00,11001.99,11322.66,6
1999-08-18,10256.80,0.00,10922.83,11348.84,6
1999-08-19,10258.94,0.00,10833.44,11222.43,6
1999-08-20,10260.33,0.00,10943.25,11253.73,6
1999-08-23,10258.63,0.00,11152.67,11354.99,6
1999-08-24,10259.94,0.00,11193.53,11467.35,6
1999-08-25,10246.94,0.00,11308.46,11541.99,6
1999-08-26,10231.63,0.00,11173.10,11574.42,6
1999-08-27,10231.81,0.00,11037.75,11507.08,6
1999-08-30,10240.30,0.00,10833.44,11412.00,6
1999-08-31,10231.83,0.00,10792.58,11298.05,6
1999-09-01,10253.75,0.00,10925.38,11308.32,6
1999-09-02,10236.13,0.00,10796.41,11259.76,6
1999-09-03,10199.08,0.00,11111.81,11359.86,6
1999-09-07,10176.30,0.00,11070.95,11475.70,6
1999-09-08,10199.33,0.00,11017.32,11453.08,6
1999-09-09,10207.26,0.00,11012.21,11471.06,6
1999-09-10,10225.57,0.00,11104.15,11550.32,6
1999-09-13,10252.64,0.00,11028.81,11546.74,6
1999-09-14,10270.20,0.00,10956.03,11507.12,6
1999-09-15,10291.60,0.00,10782.37,11573.05,6
1999-09-16,10309.00,0.00,10824.51,11485.73,6
1999-09-17,10300.97,0.00,10961.27,11479.38,6
1999-09-20,10283.50,0.00,10945.91,11557.78,6
1999-09-21,10292.28,0.00,10715.41,11505.54,6
1999-09-22,10295.91,0.00,10703.88,11418.77,6
1999-09-23,10303.63,0.00,10479.80,11454.83,6
1999-09-24,10328.64,0.00,10469.55,11326.15,6
1999-09-27,10313.19,0.00,10538.70,11388.53,6
1999-09-28,10337.64,0.00,10518.21,11402.96,6
1999-09-29,10362.09,0.00,10392.72,11423.24,6
1999-09-30,10321.19,0.00,10551.51,11429.36,6
1999-10-01,10321.76,0.00,10528.46,11552.07,6
1999-10-04,10319.15,0.00,10715.41,11538.58,6
1999-10-05,10304.08,0.00,10705.17,11683.56,6
1999-10-06,10277.54,0.00,10869.08,11651.18,6
1999-10-07,10291.79,0.00,10807.61,11714.44,6
1999-10-08,10342.56,0.00,10971.52,11614.58,6
1999-10-11,10356.10,0.00,10953.59,11684.70,6
1999-10-12,10368.51,0.00,10784.56,11734.01,6
1999-10-13,10376.94,0.00,10505.41,11542.48,6
1999-10-14,10371.38,0.00,10502.84,11462.54,6
1999-10-15,10379.42,0.00,10233.94,11429.10,6
1999-10-18,10380.81,0.00,10308.20,11405.27,6
1999-10-19,10394.75,0.00,10408.09,11424.60,6
1999-10-20,10390.07,0.00,10510.53,11423.76,6
1999-10-21,10395.79,0.00,10571.99,11467.01,6
1999-10-22,10397.17,0.00,10661.63,11651.94,6
1999-10-25,10399.55,0.00,10607.85,11695.71,6
1999-10-26,10393.51,0.00,10474.68,11695.55,6
1999-10-27,10423.77,0.00,10664.19,11666.97,6
1999-10-28,10440.01,0.00,11027.86,11812.46,6
1999-10-29,10469.62,0.00,11227.62,12005.77,6
1999-11-01,10477.33,0.00,11109.81,12092.80,6
1999-11-02,10461.18,0.00,11030.42,12096.55,6
1999-11-03,10468.69,0.00,11104.69,12181.00,6
1999-11-04,10466.60,0.00,11189.21,12244.33,6
1999-11-05,10462.76,0.00,11299.33,12313.38,6
1999-11-08,10476.71,0.00,11309.57,12289.17,6
1999-11-09,10473.78,0.00,11203.30,12431.78,6
1999-11-10,10485.54,0.00,11286.53,12302.09,6
1999-11-11,10481.25,0.00,11350.55,12403.16,6
1999-11-12,10463.44,0.00,11453.00,12446.84,6
1999-11-15,10478.74,0.00,11479.88,12480.58,6
1999-11-16,10482.11,0.00,11575.92,12522.20,6
1999-11-17,10459.49,0.00,11606.66,12736.76,6
1999-11-18,10471.73,0.00,11688.61,12759.78,6
1999-11-19,10493.19,0.00,11678.36,12768.29,6
1999-11-22,10512.99,0.00,11675.81,12794.60,6
1999-11-23,10494.06,0.00,11573.36,12729.86,6
1999-11-24,10514.10,0.00,11634.82,12724.58,6
1999-11-26,10498.53,0.00,11591.29,12865.09,6
1999-11-29,10478.31,0.00,11550.32,12826.57,6
1999-11-30,10469.92,0.00,11414.58,12759.09,6
1999-12-01,10480.75,0.00,11506.78,12636.65,6
1999-12-02,10457.59,0.00,11575.92,12448.05,6
1999-12-03,10438.10,0.00,11788.49,12616.80,6
1999-12-06,10431.06,0.00,11701.42,12617.61,6
1999-12-07,10449.76,0.00,11606.66,12566.05,6
1999-12-08,10470.03,0.00,11532.38,12627.59,6
1999-12-09,10471.31,0.00,11588.73,12694.50,6
1999-12-10,10467.34,0.00,11627.15,12704.23,6
1999-12-13,10497.14,0.00,11647.63,12723.45,6
1999-12-14,10532.64,0.00,11534.95,12669.85,6
1999-12-15,10553.33,0.00,11596.41,12612.44,6
1999-12-16,10583.02,0.00,11647.63,12733.93,6
1999-12-17,10590.52,0.00,11722.43,12810.23,6
1999-12-20,10578.44,0.00,11637.71,12793.41,6
1999-12-21,10594.13,0.00,11814.86,12742.74,6
1999-12-22,10595.85,0.00,11845.67,12883.01,6
1999-12-23,10599.85,0.00,12034.37,12967.34,6
1999-12-27,10611.01,0.00,12017.68,13035.77,6
1999-12-28,10611.32,0.00,12009.98,13049.21,6
1999-12-29,10592.31,0.00,12061.32,13084.13,6
1999-12-30,10599.82,0.00,12047.20,13174.05,6
1999-12-31,10641.78,0.00,12066.46,13187.25,6
2000-01-03,10623.53,0.00,11948.36,13208.05,6
2000-01-04,10614.36,0.00,11481.11,13094.57,6
2000-01-05,10616.25,0.00,11501.65,12910.31,6
2000-01-06,10630.61,0.00,11316.80,13028.85,6
2000-01-07,10608.94,0.00,11974.04,13129.22,6
2000-01-10,10620.58,0.00,12015.11,13083.97,6
2000-01-11,10635.77,0.00,11871.34,13099.78,6
2000-01-12,10618.41,0.00,11753.24,13060.37,6
2000-01-13,10606.35,0.00,11912.42,13114.52,6
2000-01-14,10595.60,0.00,12074.16,13322.08,6
2000-01-18,10591.50,0.00,11979.17,13298.95,6
2000-01-19,10586.34,0.00,12076.73,13323.11,6
2000-01-20,10597.30,0.00,11891.88,13446.29,6
2000-01-21,10594.63,0.00,11866.21,13388.47,6
2000-01-24,10622.26,0.00,11529.88,13421.42,6
2000-01-25,10610.24,0.00,11660.82,13288.98,6
2000-01-26,10612.27,0.00,11568.40,13330.84,6
2000-01-27,10576.23,0.00,11522.18,13392.38,6
2000-01-28,10589.01,0.00,11162.75,13308.51,6
2000-01-31,10591.62,0.00,11465.70,13205.56,6
2000-02-01,10586.65,0.00,11578.66,13310.21,6
2000-02-02,10604.80,0.00,11588.93,13402.75,6
2000-02-03,10603.67,0.00,11763.51,13426.78,6
2000-02-04,10638.57,0.00,11714.73,13512.18,6
